铃兰圣礼 Plot Results:
crit_rating, DPS, DPS-Error
0, 37802.2, 37.5589
10, 37906.8, 112.412
20, 37948.4, 110.886
30, 37996.3, 110.691
40, 38187.6, 111.684
50, 38318.2, 110.47
60, 38332.2, 104.309
70, 38369.9, 108.033
80, 38529.8, 111.324
90, 38593.5, 111.275
100, 38742.6, 106.247
110, 38867.5, 110.69
120, 39005.5, 114.794
130, 39072.4, 110.564
140, 39028, 109.145
150, 39073, 113.275
160, 39212.4, 114.737
170, 39297.4, 106.978
180, 39429.4, 116.82
190, 39507.1, 114.421
200, 39522.5, 110.27
210, 39682, 110.465
220, 39771.1, 117.433
230, 39932.3, 115.252
240, 40026.2, 114.533
250, 40073.2, 110.66
260, 40132.1, 113.428
270, 40189.7, 117.27
280, 40331.9, 114.923
290, 40417.6, 117.909
300, 40496, 112.638
310, 40607.6, 120.799
320, 40759.5, 119.171
330, 40846.1, 114.17
340, 40965.8, 121.295
350, 40976.4, 119.292
360, 41070.5, 115.422
370, 41155.4, 115.206
380, 41271, 121.396
390, 41411.5, 117.92
400, 41409.9, 116.142
410, 41434.1, 119.028
420, 41636.4, 117.273
430, 41647.2, 118.152
440, 41801.9, 118.515
450, 41985.8, 120.463
460, 41921.8, 114.421
470, 41948.9, 117.02
480, 42079.6, 119.99
490, 42245.3, 122.234
500, 42243.9, 120.236
510, 42394.7, 117.547
520, 42627.7, 117.746
530, 42704.4, 126.928
540, 42683.7, 120.574
550, 42881, 123.545
560, 42817.9, 124.407
570, 42982.7, 126.813
580, 43149.6, 126.442
590, 43281.1, 123.375
600, 43304.4, 124.123
610, 43293.2, 126.439
620, 43552.9, 120.466
630, 43636.1, 121.466
640, 43670.8, 119.075
650, 43611.7, 128.724
660, 43849.8, 123.532
670, 44043.8, 120.383
680, 43988.5, 124.212
690, 44048.7, 123.37
700, 44181.8, 122.793
710, 44225.9, 120.845
720, 44384.7, 122.874
730, 44486.3, 128.141
740, 44633.9, 120.925
750, 44721.2, 128.833
760, 44693.9, 126.969
770, 44905.3, 128.162
780, 45001.3, 127.753
790, 44998.1, 134.553
800, 45138.7, 129.577
810, 45178.6, 127.517
820, 45377.5, 132.843
830, 45342.2, 133.422
840, 45528.4, 125.906
850, 45651.2, 130.144
860, 45667.2, 127.257
870, 45781.1, 123.937
880, 45937.6, 123.403
890, 45958.6, 130
900, 46004.7, 134.634
910, 46172.6, 137.495
920, 46374.5, 132.369
930, 46444.3, 128.571
940, 46411.1, 127.112
950, 46557.7, 131.526
960, 46801.5, 127.887
970, 46846.5, 129.03
980, 46868.3, 131.772
990, 46887, 133.16
1000, 47161.7, 133.192
1010, 47069.1, 129.881
1020, 47194, 137.004
1030, 47448.4, 139.104
1040, 47430.3, 134.191
1050, 47570.9, 136.576
1060, 47644.8, 133.268
1070, 47653.2, 141.31
1080, 47899.4, 135.049
1090, 48018.6, 135.079
1100, 47998, 133.954
1110, 48084.7, 134.076
1120, 48263.8, 139.287
1130, 48447.8, 137.193
1140, 48469.5, 141.652
1150, 48491, 141.695
1160, 48473.4, 139.583
1170, 48651.4, 138.937
1180, 48672.4, 142.687
1190, 48823.4, 137.388
1200, 48909.6, 144.522
1210, 48937.8, 134.103
1220, 49041.2, 134.484
1230, 49226.9, 133.787
1240, 49148.5, 141.25
1250, 49251.2, 146.428
1260, 49347.6, 139.001
1270, 49506.2, 137.421
1280, 49639.1, 139.578
1290, 49579.4, 140.516
1300, 49702.2, 146.781
1310, 49904.1, 134.304
1320, 49942.9, 144.085
1330, 50116.3, 143.352
1340, 50101.8, 145.8
1350, 50195, 138.674
1360, 50332.6, 138.939
1370, 50446, 140.876
1380, 50627.2, 148.107
1390, 50540.1, 144.071
1400, 50643.4, 138.091
1410, 50786.8, 138.518
1420, 50848.9, 141.333
1430, 50849.4, 139.41
1440, 51035.8, 149.769
1450, 51154.3, 147.683
1460, 51210.5, 145.855
1470, 51267.9, 144.258
1480, 51401.2, 142.86
1490, 51583.6, 145.858
1500, 51581.7, 142.187

haste_rating, DPS, DPS-Error
0, 37802.2, 37.5589
10, 37963.5, 106.064
20, 37925, 107.849
30, 38005.1, 103.772
40, 38049, 105.546
50, 38158, 107.838
60, 38241.7, 111.574
70, 38325.1, 106.985
80, 38466.9, 113.881
90, 38402.6, 110.757
100, 38632.3, 111.397
110, 38643, 110.775
120, 38644.5, 109.242
130, 38747, 114.508
140, 38809.4, 109.652
150, 38939.5, 113.448
160, 38984.7, 110.509
170, 39163.8, 113.864
180, 39162.4, 114.639
190, 39163.4, 110.051
200, 39332.2, 109.937
210, 39394, 112.831
220, 39606.7, 114.506
230, 39543, 107.444
240, 39647, 108.526
250, 39662.5, 114.164
260, 39813.2, 111.722
270, 39861.1, 112.63
280, 39924.8, 114.961
290, 40050.3, 113.057
300, 40094.3, 114.923
310, 40250.9, 112.877
320, 40399.3, 116.078
330, 40297.7, 112.39
340, 40376.1, 115.507
350, 40615, 110.83
360, 40568.6, 115.804
370, 40723.8, 121.202
380, 40811, 111.906
390, 40734, 114.004
400, 40853.1, 116.252
410, 40980.5, 112.193
420, 40953.2, 120.472
430, 41060.3, 116.559
440, 41083.7, 120.432
450, 41120, 111.14
460, 41278.5, 117.144
470, 41291.9, 120.341
480, 41271.8, 116.735
490, 41361.3, 112.547
500, 41454, 120.288
510, 41662.9, 115.824
520, 41523.2, 119.039
530, 41660, 118.503
540, 41617, 115.208
550, 41746.9, 114.879
560, 41724.1, 120.639
570, 41878, 122.26
580, 41967.9, 124.172
590, 42005, 122.393
600, 42028.3, 122.492
610, 42158.5, 115.596
620, 42238.6, 125.294
630, 42210.2, 124.756
640, 42284.8, 125.857
650, 42434.2, 121.642
660, 42467.8, 124.621
670, 42475, 126.079
680, 42626.3, 123.742
690, 42707.7, 118.674
700, 42782.2, 121.159
710, 42739.6, 123.549
720, 42840.6, 127.338
730, 42947.5, 122.34
740, 42931.5, 127.356
750, 43005.7, 121.499
760, 43139.4, 127.88
770, 43175, 125.285
780, 43313.8, 125.305
790, 43451.2, 128.308
800, 43454.6, 125.057
810, 43584.2, 126.107
820, 43447.5, 127.362
830, 43639.1, 130.807
840, 43735.6, 125.669
850, 43759.5, 124.598
860, 43993.5, 121.572
870, 43848.6, 126.851
880, 44055.8, 122.349
890, 44099.6, 126.143
900, 44153.8, 123.725
910, 44272.4, 122.828
920, 44330.7, 127.271
930, 44320.9, 121.16
940, 44422, 129.019
950, 44529.7, 122.265
960, 44604.2, 124.632
970, 44789, 123.041
980, 44799.9, 130.454
990, 44915.7, 125
1000, 44946.6, 123.715
1010, 45014.2, 126.479
1020, 45034.8, 124.021
1030, 45234, 130.378
1040, 45224.6, 133.772
1050, 45320.3, 127.019
1060, 45412.8, 126.934
1070, 45380.3, 125.908
1080, 45426, 131.994
1090, 45568.4, 127.934
1100, 45765.9, 134.625
1110, 45672.8, 130.066
1120, 45819.3, 136.058
1130, 45701.8, 136.061
1140, 45918.2, 131.894
1150, 46022, 128.109
1160, 45976.7, 135.661
1170, 46050.4, 127.724
1180, 46095.6, 125.096
1190, 46280.3, 137.385
1200, 46206, 128.894
1210, 46416.9, 134.245
1220, 46426.9, 136.422
1230, 46453.1, 132.044
1240, 46631.7, 135.259
1250, 46680.7, 136.309
1260, 46711.4, 134.499
1270, 46778.5, 132.232
1280, 46849.4, 137.622
1290, 46831.1, 132.55
1300, 46890.2, 138.451
1310, 46917.4, 133.657
1320, 46933.8, 132.056
1330, 47068.8, 138.06
1340, 47070.4, 135.324
1350, 47174.2, 138.935
1360, 47206.1, 138.561
1370, 47311.8, 140.764
1380, 47382.9, 131.472
1390, 47420.2, 133.23
1400, 47412, 130.834
1410, 47574.8, 139.729
1420, 47455.6, 136.561
1430, 47510.2, 130.772
1440, 47681.8, 138.034
1450, 47643.9, 141.715
1460, 47868.4, 143.168
1470, 47741.2, 139.535
1480, 47904.2, 136.659
1490, 47961.2, 135.836
1500, 48100.2, 133.748

mastery_rating, DPS, DPS-Error
0, 37802.2, 37.5589
10, 37877.8, 104.455
20, 37931.4, 105.493
30, 38024.3, 105.444
40, 38124.1, 106.342
50, 38194.9, 106.653
60, 38311.4, 106.017
70, 38401.8, 106.357
80, 38484.4, 106.799
90, 38594.7, 107.466
100, 38677.5, 106.875
110, 38753.9, 107.504
120, 38850.2, 108.106
130, 38939.7, 107.863
140, 39035.9, 108.165
150, 39126.8, 108.665
160, 39209.1, 107.87
170, 39308.6, 109.41
180, 39405.8, 109.916
190, 39500.8, 109.47
200, 39579.3, 109.91
210, 39671.8, 109.613
220, 39756.8, 110.676
230, 39851.8, 110.786
240, 39949.1, 110.512
250, 40029.5, 111.046
260, 40128.8, 110.805
270, 40233.1, 111.127
280, 40310.6, 111.616
290, 40411.8, 111.206
300, 40501.2, 111.504
310, 40583, 111.996
320, 40667.6, 113.515
330, 40768.3, 112.867
340, 40868.6, 113.046
350, 40954, 113.324
360, 41027.3, 112.309
370, 41136.2, 114.268
380, 41238.5, 114.036
390, 41314.6, 114.556
400, 41410.8, 114.312
410, 41503.7, 114.006
420, 41575.8, 114.855
430, 41667.8, 115.791
440, 41808.1, 115.665
450, 41874.7, 116.744
460, 41927.7, 116.439
470, 42064.8, 116.064
480, 42125.5, 116.137
490, 42209.2, 117.143
500, 42315.7, 117.39
510, 42404, 117.33
520, 42497.4, 116.735
530, 42589.1, 117.361
540, 42682.1, 118.062
550, 42790.1, 119.235
560, 42849, 118.171
570, 42957.7, 118.5
580, 43034.1, 119.405
590, 43122.2, 118.418
600, 43214.1, 119.625
610, 43306.4, 119.646
620, 43380.4, 119.651
630, 43494.9, 120.029
640, 43576.9, 120.123
650, 43658.7, 121.072
660, 43763.9, 120.275
670, 43846.3, 120.299
680, 43921.1, 120.884
690, 44027.9, 121.929
700, 44129.7, 121.15
710, 44210.6, 121.013
720, 44284.6, 121.553
730, 44390.7, 122.221
740, 44476.3, 121.976
750, 44568.6, 123.011
760, 44641.6, 123.877
770, 44753.9, 123.14
780, 44825.5, 123.102
790, 44914.9, 123.675
800, 45011.8, 123.875
810, 45107, 124.296
820, 45153.3, 124.098
830, 45255.8, 125.186
840, 45360, 124.613
850, 45452.3, 124.474
860, 45553.3, 125.363
870, 45641.7, 124.094
880, 45718.8, 126.576
890, 45805.8, 126.134
900, 45904.2, 125.682
910, 45983.5, 126.442
920, 46089.4, 127.52
930, 46165.1, 126.21
940, 46267, 127.119
950, 46372.4, 127.756
960, 46427.5, 128.432
970, 46520.8, 128.099
980, 46603.4, 128.308
990, 46698.5, 128.983
1000, 46787.4, 128.167
1010, 46895.8, 128.596
1020, 46956, 129.143
1030, 47060.8, 129.508
1040, 47180.7, 129.5
1050, 47203.3, 130.294
1060, 47304.4, 130.815
1070, 47452.9, 130.055
1080, 47510.1, 132.882
1090, 47579.9, 130.95
1100, 47690.1, 130.338
1110, 47782.8, 129.706
1120, 47861.8, 131.224
1130, 47927.6, 130.188
1140, 48036.4, 132.189
1150, 48098.8, 132.44
1160, 48156.3, 129.764
1170, 48249.7, 132.636
1180, 48405.8, 132.15
1190, 48442.5, 134.529
1200, 48551.2, 132.644
1210, 48589.1, 133.707
1220, 48679.8, 135.495
1230, 48791.8, 134.536
1240, 48861, 135.394
1250, 48929.5, 135.352
1260, 48996.6, 135.487
1270, 49149.2, 134.299
1280, 49172.4, 136.295
1290, 49262.3, 135.436
1300, 49335.3, 135.334
1310, 49409.8, 135.622
1320, 49485.6, 136.017
1330, 49563.5, 136.626
1340, 49652.8, 136.071
1350, 49722.9, 136.03
1360, 49798.9, 136.404
1370, 49884.2, 136.325
1380, 49968, 137.325
1390, 50040.6, 137.996
1400, 50121.9, 137.368
1410, 50196, 137.02
1420, 50269.6, 137.81
1430, 50362.7, 138.305
1440, 50446.2, 137.629
1450, 50514.6, 138.795
1460, 50607.9, 138.037
1470, 50674.6, 137.565
1480, 50762.9, 139.104
1490, 50825.3, 140.457
1500, 50918, 139.141

versatility_rating, DPS, DPS-Error
0, 37802.2, 37.5589
10, 37827.4, 104.928
20, 37882.2, 105.424
30, 37952.4, 105.85
40, 38020.1, 105.72
50, 38096.7, 105.52
60, 38145.7, 106.145
70, 38227.7, 106.471
80, 38296.8, 106.205
90, 38362, 106.725
100, 38425.7, 107.401
110, 38498.7, 107.141
120, 38551.8, 107.503
130, 38631.3, 106.416
140, 38707.2, 107.358
150, 38769.1, 108.013
160, 38841.3, 107.823
170, 38903.6, 107.897
180, 38977.9, 107.881
190, 39041.3, 108.368
200, 39109.4, 108.82
210, 39172.8, 109.059
220, 39240.6, 109.697
230, 39308.4, 109.027
240, 39371.9, 109.633
250, 39443.1, 109.517
260, 39490.4, 110.121
270, 39583.1, 110.926
280, 39642, 109.524
290, 39707.3, 109.784
300, 39776.2, 110.288
310, 39863.5, 110.765
320, 39913.5, 111.749
330, 39983.4, 111.93
340, 40046.9, 110.835
350, 40118.9, 111.903
360, 40176.9, 111.194
370, 40252.5, 111.622
380, 40306.8, 112.058
390, 40387.4, 112.336
400, 40436.7, 111.685
410, 40514, 112.126
420, 40619.9, 113.043
430, 40653.8, 113.453
440, 40727.5, 113.33
450, 40802.4, 112.602
460, 40853.8, 114.144
470, 40935.2, 114.35
480, 41011, 113.685
490, 41058.8, 114.011
500, 41132.2, 114
510, 41194.4, 114.834
520, 41272.8, 115.145
530, 41298, 112.825
540, 41423.3, 114.536
550, 41478.7, 115.7
560, 41521.8, 115.433
570, 41580.5, 115.449
580, 41663.1, 115.448
590, 41737.5, 116.386
600, 41796.9, 115.848
610, 41870.1, 115.878
620, 41933, 116.099
630, 41998.9, 116.026
640, 42083.4, 116.771
650, 42140.8, 116.8
660, 42200.6, 117.297
670, 42264.6, 116.966
680, 42351.3, 117.701
690, 42391.5, 117.482
700, 42469.7, 118.669
710, 42551.4, 118.121
720, 42608.3, 117.69
730, 42669.3, 118.031
740, 42748.4, 118.07
750, 42818, 119.148
760, 42881.5, 118.409
770, 42933.1, 119.09
780, 43024.5, 119.314
790, 43074, 120.846
800, 43142.7, 119.678
810, 43204.2, 119.506
820, 43286.9, 120.189
830, 43338.2, 120.562
840, 43414.9, 120.44
850, 43485.7, 120.884
860, 43541.8, 121.927
870, 43614.1, 121.015
880, 43697.8, 120.772
890, 43749.2, 122.286
900, 43821.3, 121.71
910, 43899.5, 121.825
920, 43957.6, 122.675
930, 44012.7, 121.551
940, 44103.1, 123.217
950, 44168.8, 122.147
960, 44227.5, 121.981
970, 44284.7, 122.438
980, 44370.4, 123.574
990, 44421.6, 123.223
1000, 44488, 123.172
1010, 44563.2, 123.412
1020, 44649.8, 124.26
1030, 44690.3, 124.24
1040, 44761, 124.227
1050, 44828.6, 124.087
1060, 44885.5, 125.348
1070, 44990.5, 124.291
1080, 45079.8, 125.792
1090, 45154.3, 126.194
1100, 45194.1, 124.987
1110, 45318.1, 122.781
1120, 45331.7, 123.749
1130, 45378, 125.256
1140, 45416.3, 135.272
1150, 45514.8, 125.045
1160, 45589.4, 126.285
1170, 45650.1, 126.401
1180, 45725.8, 127.674
1190, 45763.3, 128.094
1200, 45835.7, 126.992
1210, 45909.9, 127.551
1220, 45981.7, 127.605
1230, 46031.8, 128.485
1240, 46111.4, 128.794
1250, 46159.3, 127.413
1260, 46253.9, 128.839
1270, 46306.9, 128.765
1280, 46378.7, 128.674
1290, 46460.5, 129.639
1300, 46509.5, 129.035
1310, 46591.4, 128.983
1320, 46675.4, 129.57
1330, 46724.1, 130.241
1340, 46790.9, 130.124
1350, 46868.4, 132.302
1360, 46966.5, 132.411
1370, 47037.5, 128.272
1380, 47079.7, 131.759
1390, 47155.1, 130.591
1400, 47172.2, 131.095
1410, 47297.9, 132.384
1420, 47367.8, 132.769
1430, 47418, 131.972
1440, 47459.5, 135.882
1450, 47530.6, 130.622
1460, 47637.2, 132.566
1470, 47688, 133.142
1480, 47742.8, 132.578
1490, 47849.7, 133.926
1500, 47878.3, 133.864

