铃兰圣礼 Plot Results:
crit_rating, DPS, DPS-Error
0, 72,152.1, 71.4209
10, 72,059.8, 205.679
20, 72,356.3, 209.951
30, 72,853.3, 199.789
40, 72,648.6, 209.704
50, 73,083.9, 217.277
60, 73,186, 215.05
70, 73,216.3, 201.833
80, 73,633.2, 217.468
90, 73,781.2, 217.307
100, 74,017.9, 219.132
110, 73,955.5, 216.747
120, 74,332.9, 215.518
130, 74,454.5, 220.013
140, 74,675.2, 203.259
150, 74,715.6, 217.264
160, 75,093.5, 224.05
170, 75,178.6, 214.875
180, 75,343.6, 207.541
190, 75,312.3, 226.643
200, 75,725.2, 212.305
210, 75,900.3, 211.053
220, 76,215.5, 212.194
230, 76,445.2, 216.741
240, 76,387.8, 223.204
250, 76,373.8, 222.532
260, 76,688.4, 227.693
270, 77,019.3, 219.145
280, 77,095.8, 226.4
290, 77,421, 222.259
300, 77,335, 218.952
310, 77,653.2, 225.036
320, 77,908.4, 232.359
330, 77,895.6, 230.52
340, 78,198.2, 230.438
350, 78,222.7, 220.587
360, 78,646.6, 220.313
370, 78,871.4, 230.407
380, 78,809.3, 231.379
390, 79,136.6, 221.797
400, 79,204.9, 222.09
410, 79,321.7, 227.38
420, 79,547.3, 222.898
430, 79,742.5, 222.957
440, 80,006, 224.676
450, 80,145.5, 222.945
460, 80,458.3, 227.752
470, 80,657.1, 228.335
480, 80,690.8, 232.31
490, 80,707.2, 239.84
500, 81,153, 230.725
510, 81,295, 231.892
520, 81,582, 226.55
530, 81,567.5, 230.813
540, 81,987.3, 235.125
550, 81,952.3, 225.924
560, 82,214.8, 229.45
570, 82,539.7, 244.39
580, 82,441.8, 229.945
590, 82,658.5, 232.992
600, 82,801.5, 227.718
610, 83,006.7, 243.096
620, 83,335.5, 234.134
630, 83,464.8, 234.451
640, 83,653.5, 238.755
650, 83,867.5, 245.414
660, 83,997.4, 251.118
670, 84,448, 240.485
680, 84,478.3, 238.249
690, 84,739.4, 235.005
700, 84,758, 233.505
710, 84,788.4, 236.62
720, 85,074.6, 236.91
730, 85,235.4, 237.029
740, 85,531.3, 236.36
750, 85,849.2, 254.156
760, 85,817, 254.447
770, 86,228.7, 238.136
780, 86,312, 250.106
790, 86,395.3, 252.664
800, 86,732.3, 241.737
810, 86,653.4, 243.495
820, 86,876.8, 256.784
830, 87,379.4, 245.428
840, 87,324.4, 259.682
850, 87,647.1, 252.432
860, 87,998.2, 260.419
870, 88,022.4, 258.88
880, 88,152, 245.298
890, 88,146.8, 257.322
900, 88,525.8, 262.582
910, 88,886.6, 254.537
920, 89,006.1, 244.878
930, 89,152, 261.406
940, 89,367.4, 264.859
950, 89,652.1, 263.37
960, 89,552.9, 266.082
970, 90,058.2, 268.52
980, 90,021.7, 250.076
990, 90,329.6, 245.353
1,000, 90,426, 251.757
1,010, 90,706.2, 263.6
1,020, 90,910.4, 264.111
1,030, 91,242.2, 257.099
1,040, 91,114, 256.357
1,050, 91,448.3, 273.973
1,060, 91,808.9, 264.188
1,070, 91,940.5, 259.448
1,080, 91,989.9, 254.233
1,090, 92,089.5, 273.511
1,100, 92,312.9, 258.86
1,110, 92,432.9, 268.755
1,120, 92,556.9, 273.916
1,130, 92,656.9, 270.379
1,140, 92,852.7, 268.351
1,150, 93,103.2, 274.963
1,160, 93,240.6, 258.2
1,170, 93,411.9, 267.931
1,180, 93,647.8, 276.336
1,190, 93,889.3, 266.871
1,200, 94,151.3, 268.959
1,210, 94,175.4, 270.94
1,220, 94,372.9, 271.14
1,230, 94,658.2, 277.855
1,240, 94,727.1, 267.937
1,250, 94,843, 268.561
1,260, 95,118.1, 267.198
1,270, 95,206.9, 265.614
1,280, 95,603.3, 283.597
1,290, 95,586.5, 268.906
1,300, 95,706.7, 282.934
1,310, 95,711.9, 270.657
1,320, 96,077.4, 272.437
1,330, 96,318.5, 267.401
1,340, 96,316.9, 267.108
1,350, 96,648.9, 283.923
1,360, 96,800.4, 277.05
1,370, 96,989.1, 273.917
1,380, 97,112.6, 282.793
1,390, 97,480.6, 281.033
1,400, 97,499.3, 286.543
1,410, 97,909.9, 267.715
1,420, 97,905.7, 290.023
1,430, 98,057.3, 278.225
1,440, 98,321.8, 287.552
1,450, 98,591.1, 285.576
1,460, 98,525.9, 281.916
1,470, 98,872.8, 278.166
1,480, 99,025, 293.192
1,490, 99,321.9, 297.029
1,500, 99,456.4, 287.818

haste_rating, DPS, DPS-Error
0, 72,152.1, 71.4209
10, 72,286.1, 205.99
20, 72,408.1, 211.011
30, 72,675.9, 216.93
40, 72,789.1, 214.455
50, 72,992.1, 203.564
60, 73,011.9, 208.019
70, 73,233.3, 207.176
80, 73,346.3, 203.698
90, 73,591.1, 218.673
100, 73,462.1, 213.547
110, 73,957.6, 216.314
120, 73,938.2, 210.499
130, 74,152.9, 207.135
140, 74,209.3, 209.295
150, 74,461.6, 209.624
160, 74,742.1, 204.892
170, 74,808, 207.391
180, 75,018.5, 222.411
190, 75,050.4, 208.72
200, 75,227.1, 217.339
210, 75,390.3, 215.317
220, 75,606, 209.117
230, 75,853.2, 222.84
240, 76,039.2, 217.643
250, 75,906.5, 214.109
260, 76,078.7, 223.344
270, 76,544.9, 220.226
280, 76,616.3, 221.331
290, 76,762, 212.738
300, 76,981.9, 214.795
310, 76,908.7, 223.341
320, 77,057.7, 214.107
330, 77,206.8, 227.237
340, 77,641.6, 231.123
350, 77,528.4, 214.252
360, 77,742.9, 229.008
370, 77,946.4, 230.45
380, 78,190.5, 221.842
390, 78,132.5, 219.406
400, 78,175.8, 225.442
410, 78,384.7, 222.052
420, 78,658.2, 222.832
430, 78,874.3, 224.279
440, 78,892.5, 233.225
450, 79,078.8, 222.917
460, 79,305.7, 221.434
470, 79,594.4, 228.598
480, 79,541.8, 236.744
490, 79,627.8, 217.778
500, 79,894.3, 236.303
510, 79,703.2, 220.769
520, 79,963.8, 227.981
530, 80,410.7, 226.71
540, 80,396.6, 225.905
550, 80,275.9, 237.749
560, 80,496.3, 221.868
570, 80,771.7, 227.503
580, 80,924.7, 239.87
590, 80,695.4, 228.159
600, 81,066, 242.308
610, 81,353.7, 235.914
620, 81,385.9, 227.473
630, 81,694.9, 239.807
640, 81,529.6, 237.234
650, 81,857.3, 231.545
660, 82,024, 232.876
670, 81,995.6, 235.064
680, 82,389.6, 232.883
690, 82,403, 233.556
700, 82,413, 235.438
710, 82,617.2, 228.326
720, 82,845.9, 242.544
730, 82,967.5, 239.081
740, 83,251.6, 238.659
750, 83,277, 230.464
760, 83,486.1, 237.176
770, 83,552.4, 248.172
780, 83,721.9, 247.114
790, 84,029, 230.695
800, 83,989.9, 237.294
810, 84,196.3, 240.418
820, 84,124.4, 238.164
830, 84,529, 251.849
840, 84,576.5, 245.607
850, 84,774.4, 236.994
860, 84,842.8, 252.043
870, 85,015.2, 248.601
880, 85,198.1, 246.016
890, 85,220.4, 248.78
900, 85,681.8, 236.639
910, 85,683.6, 250.592
920, 85,598.5, 243.907
930, 85,934.9, 240.152
940, 86,015, 240.947
950, 86,055.9, 248.248
960, 86,175.8, 242.756
970, 86,348, 238.692
980, 86,739.8, 242.085
990, 86,711.6, 257.323
1,000, 86,708.5, 256.292
1,010, 86,977.2, 241.961
1,020, 87,003.1, 259.121
1,030, 87,230.3, 239.39
1,040, 87,332, 253.051
1,050, 87,475.6, 247.955
1,060, 87,630.6, 249.441
1,070, 87,858.5, 251.572
1,080, 87,798.8, 240.675
1,090, 88,004.3, 246.185
1,100, 88,168.8, 241.74
1,110, 88,269.4, 247.208
1,120, 88,443.1, 244.676
1,130, 88,586.3, 262.918
1,140, 88,462.3, 251.51
1,150, 88,833.4, 260.089
1,160, 88,942, 251.083
1,170, 89,142.7, 258.867
1,180, 89,249.3, 251.252
1,190, 89,400.2, 258.42
1,200, 89,283, 256.104
1,210, 89,592.4, 260.657
1,220, 89,603.3, 257.876
1,230, 90,074.4, 267.021
1,240, 90,215.3, 255.125
1,250, 90,310.7, 250.734
1,260, 90,295.5, 249.964
1,270, 90,263.8, 254.797
1,280, 90,639.1, 248.676
1,290, 90,798.3, 250.077
1,300, 90,741, 263.075
1,310, 90,865.5, 269.417
1,320, 91,052.8, 270.356
1,330, 91,057.5, 262.714
1,340, 91,339.8, 266.948
1,350, 91,138.2, 261.993
1,360, 91,314.5, 267.062
1,370, 91,536.8, 271
1,380, 91,473, 248.669
1,390, 91,602.6, 253.306
1,400, 91,860.5, 274.542
1,410, 92,081.5, 264.375
1,420, 92,092.8, 259.869
1,430, 92,250.3, 268.127
1,440, 92,261.7, 254.558
1,450, 92,309, 268.188
1,460, 92,544, 263.078
