逝川流光 Plot Results:
crit_rating, DPS, DPS-Error
0, 118,701, 117.872
10, 119,046, 336.877
20, 119,245, 339.731
30, 119,603, 337.415
40, 119,897, 338.861
50, 120,111, 344.252
60, 120,396, 342.154
70, 120,660, 344.393
80, 120,978, 342.717
90, 121,241, 342.808
100, 121,481, 344.508
110, 121,741, 346.653
120, 122,026, 346.43
130, 122,296, 346.788
140, 122,568, 347.918
150, 122,853, 348.475
160, 123,116, 350.38
170, 123,373, 349.794
180, 123,650, 351.333
190, 123,931, 353.596
200, 124,243, 354.121
210, 124,477, 352.568
220, 124,690, 355.384
230, 125,042, 352.976
240, 125,388, 356.954
250, 125,541, 356.18
260, 125,798, 355.43
270, 126,163, 358.862
280, 126,428, 358.872
290, 126,658, 357.891
300, 126,981, 361.774
310, 127,308, 361.705
320, 127,535, 359.517
330, 127,799, 365.013
340, 128,037, 362.827
350, 128,387, 366.977
360, 128,639, 363.631
370, 128,902, 368.916
380, 129,165, 364.353
390, 129,357, 364.784
400, 129,666, 364.029
410, 129,901, 367.448
420, 130,258, 368.138
430, 130,500, 370.919
440, 130,832, 371.463
450, 131,064, 373.691
460, 131,397, 371.805
470, 131,679, 374.649
480, 131,856, 375.907
490, 132,072, 369.509
500, 132,375, 376.391
510, 132,666, 373.868
520, 132,962, 376.245
530, 133,264, 376.16
540, 133,491, 377.82
550, 133,870, 378.927
560, 133,990, 377.999
570, 134,343, 377.147
580, 134,657, 381.568
590, 134,847, 381.28
600, 135,135, 380.293
610, 135,441, 388.76
620, 135,626, 383.212
630, 135,949, 384.908
640, 136,296, 385.182
650, 136,508, 389.481
660, 136,727, 384.115
670, 137,063, 387.283
680, 137,372, 392.315
690, 137,643, 390.416
700, 137,848, 385.312
710, 138,146, 391.288
720, 138,363, 387.551
730, 138,754, 390.184
740, 138,862, 387.471
750, 139,181, 389.189
760, 139,502, 391.451
770, 139,787, 393.97
780, 140,014, 396.252
790, 140,355, 394.245
800, 140,599, 398.155
810, 140,923, 398.58
820, 141,140, 397.132
830, 141,404, 393.793
840, 141,592, 394.805
850, 142,043, 398.7
860, 142,174, 396.209
870, 142,468, 398.933
880, 142,785, 401.197
890, 142,958, 402.786
900, 143,241, 400.871
910, 143,467, 399.734
920, 143,919, 402.337
930, 144,221, 404.1
940, 144,454, 404.405
950, 144,616, 400.898
960, 144,916, 406.872
970, 145,192, 404.759
980, 145,374, 406.558
990, 145,665, 408.745
1,000, 146,081, 410.37
1,010, 146,343, 414.435
1,020, 146,497, 409.051
1,030, 146,755, 409.325
1,040, 147,022, 408.394
1,050, 147,239, 411.983
1,060, 147,508, 412.94
1,070, 147,705, 413.832
1,080, 148,005, 414.447
1,090, 148,281, 413.896
1,100, 148,440, 416.665
1,110, 148,768, 422.184
1,120, 148,960, 417.123
1,130, 149,228, 418.233
1,140, 149,515, 418.999
1,150, 149,679, 419.015
1,160, 149,932, 420.197
1,170, 150,259, 420.056
1,180, 150,501, 423.07
1,190, 150,651, 425.542
1,200, 150,964, 424.346
1,210, 151,180, 424.836
1,220, 151,442, 429.624
1,230, 151,619, 424.922
1,240, 151,942, 427.107
1,250, 152,188, 428.454
1,260, 152,456, 434.376
1,270, 152,683, 428.298
1,280, 152,868, 427.945
1,290, 153,173, 435.663
1,300, 153,435, 432.663
1,310, 153,638, 428.959
1,320, 153,954, 434.524
1,330, 154,082, 431.958
1,340, 154,371, 428.98
1,350, 154,585, 433.123
1,360, 154,854, 432.296
1,370, 155,096, 438.039
1,380, 155,443, 440.644
1,390, 155,641, 435.058
1,400, 155,876, 439.512
1,410, 156,095, 434.216
1,420, 156,374, 437.742
1,430, 156,562, 439.989
1,440, 156,931, 443.006
1,450, 157,125, 445.183
1,460, 157,329, 445.404
1,470, 157,592, 446.065
1,480, 157,874, 444.768
1,490, 158,088, 445.696
1,500, 158,262, 447.244

haste_rating, DPS, DPS-Error
0, 118,701, 117.872
10, 118,782, 345.251
20, 118,857, 353.05
30, 119,528, 335.457
40, 119,473, 348.159
50, 119,645, 337.703
60, 119,951, 341.714
70, 120,364, 359.211
80, 120,387, 345.875
90, 120,632, 341.8
100, 121,140, 353.377
110, 121,143, 346.587
120, 121,124, 336.865
130, 121,023, 354.07
140, 121,169, 349.595
150, 121,549, 352.22
160, 121,906, 355.021
170, 122,127, 358.055
180, 122,112, 355.174
190, 122,172, 352.237
200, 122,499, 347.918
210, 122,846, 344.019
220, 122,817, 361.19
230, 123,117, 350.924
240, 123,523, 365.308
250, 123,922, 367.611
260, 123,739, 364.38
270, 124,312, 348.003
280, 124,048, 350.317
290, 124,398, 362.989
