逝川流光 Plot Results:
crit_rating, DPS, DPS-Error
0, 74,854, 72.7687
10, 75,102.4, 219.194
20, 75,113.2, 204.134
30, 75,416.7, 207.432
40, 75,589.1, 207.641
50, 75,762.9, 221.418
60, 75,885.8, 207.006
70, 76,065, 199.174
80, 76,324, 214.878
90, 76,463.1, 213.623
100, 76,615.1, 212.413
110, 76,842.1, 222.052
120, 76,998.9, 213.226
130, 77,188.5, 218.249
140, 77,465.4, 165.841
150, 77,582.3, 215.738
160, 77,722, 215.98
170, 77,889.6, 212.866
180, 78,056.8, 215.118
190, 78,287.7, 215.166
200, 78,398, 217.516
210, 78,571.2, 222.827
220, 78,779.9, 232.401
230, 78,966.1, 224.576
240, 79,139, 217.877
250, 79,351.3, 240.564
260, 79,463.1, 231.774
270, 79,767.5, 174.281
280, 79,856, 237.596
290, 80,086.9, 238.525
300, 80,252.3, 228.759
310, 80,443.8, 238.367
320, 80,646.9, 242.393
330, 80,890.8, 179.997
340, 81,056.5, 176.739
350, 81,236.6, 179.12
360, 81,363.8, 237.953
370, 81,560.1, 240.638
380, 81,719.2, 236.941
390, 81,841, 230.002
400, 82,133.9, 237.432
410, 82,310.8, 241.683
420, 82,402, 232.16
430, 82,590, 228.369
440, 82,741.1, 228.408
450, 82,977.4, 245.353
460, 83,199.2, 249.722
470, 83,427.3, 184.359
480, 83,539.1, 245.614
490, 83,804.8, 183.65
500, 83,920.5, 247.132
510, 84,186.6, 184.765
520, 84,296, 246.203
530, 84,501.5, 244.21
540, 84,621.3, 246.823
550, 84,818.2, 249.101
560, 85,062.5, 249.544
570, 85,146.9, 244.998
580, 85,373.3, 248.594
590, 85,593.8, 249.979
600, 85,676.5, 252.723
610, 85,925.3, 244.204
620, 86,097.7, 242.608
630, 86,288.3, 256.951
640, 86,465.8, 253.996
650, 86,704.5, 248.746
660, 86,860.1, 254.201
670, 87,057.8, 256.468
680, 87,205.7, 255.46
690, 87,438.1, 257.137
700, 87,552.1, 258.722
710, 87,702.6, 250.074
720, 87,872, 250.843
730, 88,095, 252.208
740, 88,273.5, 258.965
750, 88,431.2, 256.626
760, 88,601, 248.431
770, 88,771.2, 257.704
780, 89,011.5, 252.366
790, 89,215.1, 255.759
800, 89,345.5, 257.383
810, 89,541.6, 253.319
820, 89,806.5, 263.865
830, 89,903.8, 246.796
840, 90,135.2, 267.226
850, 90,346.7, 192.266
860, 90,557.7, 194.343
870, 90,729.7, 196.875
880, 90,903, 203.509
890, 91,060.5, 200.773
900, 91,233.5, 200.321
910, 91,430, 199.227
920, 91,627.7, 199.078
930, 91,789.3, 197.575
940, 91,970.6, 198.405
950, 92,158.5, 201.175
960, 92,360.9, 202.333
970, 92,527.5, 204.214
980, 92,739.6, 199.531
990, 92,936, 200.341
1,000, 93,143.8, 200.078
1,010, 93,310, 203.446
1,020, 93,461.1, 279.003
1,030, 93,678.4, 275.228
1,040, 93,898.9, 203.853
1,050, 94,070.5, 206.73
1,060, 94,171.7, 274.919
1,070, 94,415.5, 206.206
1,080, 94,603.7, 202.15
1,090, 94,694.6, 284.541
1,100, 94,991.8, 206.263
1,110, 95,135.4, 205.521
1,120, 95,322.2, 208.426
1,130, 95,462.4, 284.077
1,140, 95,680.4, 209.35
1,150, 95,770.5, 290.944
1,160, 96,071.3, 206.632
1,170, 96,159.3, 286.295
1,180, 96,325.2, 279.739
1,190, 96,597.5, 206.059
1,200, 96,793.7, 208.55
1,210, 96,908, 208.758
1,220, 97,078.2, 208.635
1,230, 97,169, 283.605
1,240, 97,346.9, 291.068
1,250, 97,505.9, 292.475
1,260, 97,703.8, 285.665
1,270, 97,850.1, 282.806
1,280, 98,068.3, 211.811
1,290, 98,145, 293.034
1,300, 98,346.8, 279.375
1,310, 98,590.6, 212.501
1,320, 98,670, 290.944
1,330, 98,757.9, 274.224
1,340, 99,003.7, 290.434
1,350, 99,100.9, 283.865
1,360, 99,300, 291.656
1,370, 99,469.2, 295.247
1,380, 99,681.2, 294.334
1,390, 99,795.2, 285.454
1,400, 100,078, 215.435
1,410, 100,259, 216.195
1,420, 100,354, 217.805
1,430, 100,455, 273.554
1,440, 100,713, 215.158
1,450, 100,778, 297.925
1,460, 100,935, 297.011
1,470, 101,068, 289.349
1,480, 101,323, 293.27
1,490, 101,457, 300.192
1,500, 101,607, 295.935

haste_rating, DPS, DPS-Error
0, 74,854, 72.7687
10, 75,009.7, 183.149
20, 74,855.5, 218.971
30, 74,994.8, 191.11
40, 75,226.8, 210.496
50, 75,304.2, 154.91
60, 75,371.3, 210.454
70, 75,501.6, 216.431
80, 75,838.9, 179.576
90, 75,838.2, 216.141
100, 76,236, 205.078
110, 76,301.1, 179.06
120, 76,259.2, 181.798
130, 75,989.4, 177.227
140, 76,142.4, 211.358
150, 76,393.4, 174.562
160, 76,243.4, 168.652
170, 76,505.9, 173.502
180, 76,603.8, 189.169
190, 76,778.1, 170.991
200, 76,957.8, 179.84
210, 77,017.3, 175.557
220, 76,947.5, 187.513
230, 77,309.8, 219.531
240, 77,120.5, 172.734
250, 77,336.1, 181.629
260, 77,655.1, 187.554
270, 77,628.2, 187.888
280, 77,652.3, 185.913
290, 78,005.2, 200.88
300, 77,983, 195.121
310, 78,106, 189.338
320, 78,216.3, 184.336
330, 78,559.9, 177.967
340, 78,725.9, 203.44
350, 78,708.5, 178.635
360, 79,004.4, 179.06
370, 79,039.2, 192.567
380, 79,204.7, 205.785
390, 79,405.2, 192.441
400, 79,450.5, 179.25
410, 79,744.4, 181.208
420, 79,733.6, 195.838
430, 79,881.1, 184.932
440, 80,011, 198.167
450, 80,037.4, 180.246
460, 80,273.4, 177.496
470, 80,441.8, 175.445
480, 80,532.3, 176.111
490, 80,748.7, 191.865
500, 80,875.2, 187.861
510, 80,738, 191.24
520, 81,138.8, 186.758
530, 81,193.2, 202.214
540, 81,244.5, 191.15
550, 81,377.9, 194.5
560, 81,541.3, 187.282
570, 81,529.4, 194.47
580, 81,731.7, 183.494
590, 81,999, 183.945
600, 81,952.9, 173.342
610, 82,118.6, 186.943
620, 82,132.5, 202.492
630, 82,280.5, 193.633
640, 82,485.8, 198.934
650, 82,320.8, 199.606
660, 82,419.5, 184.301
670, 82,346.7, 210.607
680, 82,445.7, 188.489
690, 82,710.3, 188.985
700, 82,737.8, 186.403
710, 83,066.8, 202.89
720, 83,012.5, 196.474
730, 83,160.6, 205.908
740, 83,386.6, 197.201
750, 83,468.5, 212.526
760, 83,535, 194.077
770, 83,634.6, 198.17
780, 83,547.2, 196.012
790, 83,908.1, 193.181
800, 84,065.1, 200.338
810, 84,407.5, 197.028
820, 84,170.8, 198.696
830, 84,486.1, 202.725
840, 84,346.2, 215.59
850, 84,319.3, 219.913
860, 84,803.2, 185.518
870, 84,724.7, 210.442
880, 84,953.3, 192.49
890, 84,778.8, 207.378
900, 85,002.5, 203.515
910, 85,152, 202.726
920, 86,390.9, 214.959
930, 86,588.5, 223.85
940, 86,475.9, 225.999
950, 86,291.3, 222.014
960, 86,454.5, 210.225
970, 86,746.3, 199.216
980, 86,529.4, 219.712
990, 86,654.4, 205.511
1,000, 86,948.2, 236.82
1,010, 87,242.9, 218.791
1,020, 87,569.8, 187.679
1,030, 87,587.3, 213.027
1,040, 87,677.5, 224.182
1,050, 87,792.2, 234.852
1,060, 88,121.8, 234.357
1,070, 88,246.7, 223.604
1,080, 88,262.5, 232.492
1,090, 88,381.7, 205.906
1,100, 88,647.9, 205.659
1,110, 88,691.5, 229.552
1,120, 88,664.7, 245.172
1,130, 88,712.4, 236.59
1,140, 88,989.2, 231.791
1,150, 88,968.1, 227.86
1,160, 89,215.1, 205.972
1,170, 89,204.9, 232.876
1,180, 89,265.5, 225.612
1,190, 89,199.8, 241.847
1,200, 89,423.1, 220.116
1,210, 89,298.6, 219.586
1,220, 89,371.3, 203.304
1,230, 89,354.4, 221.537
1,240, 89,316.9, 235.866
1,250, 89,297.6, 204.646
1,260, 89,270.1, 210.707
1,270, 89,389.7, 217.799
1,280, 89,375.5, 225.567
1,290, 89,383.3, 229.558
1,300, 89,339.9, 229.955
1,310, 89,484.7, 208.561
1,320, 89,599.1, 201.017
1,330, 89,825.2, 196.924
1,340, 89,837.5, 195.089
1,350, 90,122.3, 195.86
1,360, 90,045.1, 212.965
1,370, 90,211.3, 215.165
1,380, 90,239.6, 250.101
1,390, 90,284.6, 210.699
1,400, 90,571.2, 226.8
1,410, 90,545, 222.127
1,420, 90,689.5, 206.954
1,430, 91,037.9, 218.412
1,440, 90,879, 216.638
1,450, 91,017.1, 208.831
1,460, 91,230.7, 210.625
1,470, 91,211.4, 212.223
1,480, 91,513.4, 210.142
1,490, 91,489.4, 229.842
1,500, 91,611, 235.184

mastery_rating, DPS, DPS-Error
0, 74,854, 72.7687
10, 74,986.8, 198.688
20, 75,237.5, 219.193
30, 75,309.4, 213.1
40, 75,432.4, 205.696
50, 75,563.5, 209.996
60, 75,731.9, 218.128
70, 75,830.4, 208.962
80, 75,984.7, 212.682
90, 76,087.1, 209.646
100, 76,316.6, 217.439
110, 76,381.6, 214.442
120, 76,535.3, 213.321
130, 76,694, 209.641
140, 76,826.2, 215.503
150, 76,924.9, 205.188
160, 77,095.4, 215.932
170, 77,244.9, 216.148
180, 77,422.9, 229.139
190, 77,592.9, 224.01
200, 77,725.7, 218.706
210, 77,795.5, 212.105
220, 77,966.9, 214.26
230, 78,072, 221.858
240, 78,302.8, 222.486
250, 78,415.5, 222.591
260, 78,473.9, 210.763
270, 78,611.9, 217.354
280, 78,864.8, 224.006
290, 78,901, 213.472
300, 79,059.6, 219.601
310, 79,207.2, 213.264
320, 79,405.5, 227.649
330, 79,538.1, 222.215
340, 79,665.9, 229.948
350, 79,777.3, 227.868
360, 79,962.4, 227.143
370, 80,120.7, 223.668
380, 80,254.8, 227.634
390, 80,411.3, 233.556
400, 80,485.6, 216.925
410, 80,668.1, 226.87
420, 80,850.1, 229.527
430, 80,944.6, 230.752
440, 81,026, 225.964
450, 81,254.8, 232.653
460, 81,369, 233.359
470, 81,481.6, 228.582
480, 81,593.2, 231.797
490, 81,761.2, 229.311
500, 81,931, 240.649
510, 82,069.5, 237.613
520, 82,248.7, 231.452
530, 82,391.6, 238.154
540, 82,492.2, 232.877
550, 82,620.8, 238.073
560, 82,759.5, 235.305
570, 82,895.7, 236.876
580, 83,067, 234.691
590, 83,257.4, 241.236
600, 83,279, 232.253
610, 83,496.1, 241.79
620, 83,716.3, 236.922
630, 83,651.6, 226.469
640, 84,011.8, 182.536
650, 84,135.9, 185.725
660, 84,216.6, 246.118
670, 84,350.6, 243.421
680, 84,499.3, 246.791
690, 84,561.2, 242.132
700, 84,823.8, 245.325
710, 84,907.5, 245.11
720, 85,038.3, 247.622
730, 85,214.7, 248.662
740, 85,305.5, 247.577
750, 85,419.1, 239.368
760, 85,633.9, 242.671
770, 85,779.2, 240.077
780, 85,877.2, 248.488
790, 86,039.3, 249.606
800, 86,177.9, 245.914
810, 86,413, 248.411
820, 86,454.9, 241.367
830, 86,612.6, 249.381
840, 86,732.2, 254.211
850, 86,917.7, 263.306
860, 87,014.7, 252.621
870, 87,102.1, 253.338
880, 87,274.5, 251.129
890, 87,461.9, 261.847
900, 87,582.9, 258.658
910, 87,662.9, 248.146
920, 87,799.4, 246.578
930, 87,995.6, 249.913
940, 88,168.4, 263.175
950, 88,273.4, 251.795
960, 88,328.8, 254.048
970, 88,579.9, 253.787
980, 88,749.4, 256.804
990, 88,849.3, 259.927
1,000, 88,963.6, 253.512
1,010, 89,204.6, 263.703
1,020, 89,229.7, 262.774
1,030, 89,380.8, 251.797
1,040, 89,549.9, 259.961
1,050, 89,729.5, 268.762
1,060, 89,777.7, 256.651
1,070, 90,079.1, 205.788
1,080, 90,208, 200.232
1,090, 90,294.8, 264.973
1,100, 90,407.2, 262.43
1,110, 90,542, 270.528
1,120, 90,776.6, 203.398
1,130, 90,911.1, 270.244
1,140, 91,002, 259.007
