逝川流光 Plot Results:
crit_rating, DPS, DPS-Error
0, 46,605.6, 46.2792
10, 46,717.6, 138.146
20, 46,789.1, 139.113
30, 46,947.8, 138.698
40, 47,056.8, 139.525
50, 47,157, 131.963
60, 47,260, 141.199
70, 47,349.1, 140.418
80, 47,498.1, 134.048
90, 47,560.3, 142.18
100, 47,681.5, 140.916
110, 47,774.8, 142.912
120, 47,912.2, 142.939
130, 48,025.3, 136.056
140, 48,111.3, 142.721
150, 48,237.7, 135.802
160, 48,349.1, 136.964
170, 48,485, 137.786
180, 48,583.1, 142.84
190, 48,702.2, 139.315
200, 48,764.8, 145.137
210, 48,864.3, 138.745
220, 48,997.7, 138.631
230, 49,087.6, 138.163
240, 49,200, 145.409
250, 49,262.5, 145.762
260, 49,388.8, 146.096
270, 49,507.3, 146.644
280, 49,612.7, 147.588
290, 49,724.8, 141.568
300, 49,828.7, 140.106
310, 49,942.5, 142.686
320, 50,054.7, 141.416
330, 50,163.6, 142.001
340, 50,228.1, 142.505
350, 50,359.9, 142.824
360, 50,498.1, 143.967
370, 50,574, 144.606
380, 50,679.4, 144.666
390, 50,823.2, 145.214
400, 50,927, 152.14
410, 51,051.7, 150.842
420, 51,147, 144.696
430, 51,276.3, 145.677
440, 51,345.4, 153.364
450, 51,436.8, 153.902
460, 51,561.8, 146.865
470, 51,669.2, 146.086
480, 51,797.4, 146.479
490, 51,849.7, 146.327
500, 51,969.5, 147.339
510, 52,047.7, 147.896
520, 52,195.7, 149.197
530, 52,296.7, 148.773
540, 52,401.2, 149.091
550, 52,519.8, 149.513
560, 52,635.8, 150.437
570, 52,744.8, 150.875
580, 52,866.1, 151.578
590, 52,966, 151.749
600, 53,029.3, 151.132
610, 53,170.5, 153.214
620, 53,290.7, 154.309
630, 53,383.2, 154.46
640, 53,485.6, 154.03
650, 53,596, 154.68
660, 53,711.3, 155.96
670, 53,818.9, 155.104
680, 53,897.4, 155.093
690, 54,022.1, 156.636
700, 54,144.5, 156.568
710, 54,218.3, 155.165
720, 54,366.8, 157.58
730, 54,458.3, 156.724
740, 54,546.3, 158.087
750, 54,669.4, 156.013
760, 54,795.5, 157.504
770, 54,854.5, 157.064
780, 54,999.7, 157.956
790, 55,114.8, 159.738
800, 55,202, 158.658
810, 55,315.9, 159.739
820, 55,437.3, 159.625
830, 55,518.1, 159.607
840, 55,621.3, 160.792
850, 55,756.3, 161.151
860, 55,845.4, 161.484
870, 55,952.6, 161.852
880, 56,079, 161.945
890, 56,154.7, 162.908
900, 56,297, 162.677
910, 56,365.2, 161.92
920, 56,482.8, 163.71
930, 56,615.1, 163.81
940, 56,719.8, 163.851
950, 56,840.5, 164.061
960, 56,942.1, 163.94
970, 57,026, 164.135
980, 57,134.2, 165.142
990, 57,246.3, 165.545
1,000, 57,339, 165.377
1,010, 57,482.7, 165.523
1,020, 57,543.8, 166.963
1,030, 57,647.1, 164.753
1,040, 57,758.6, 166.188
1,050, 57,838.7, 166.105
1,060, 57,948.3, 167.51
1,070, 58,052.5, 168.657
1,080, 58,129.8, 167.509
1,090, 58,264.7, 168.14
1,100, 58,367.3, 168.744
1,110, 58,452.5, 168.445
1,120, 58,542.6, 167.395
1,130, 58,671.7, 169.638
1,140, 58,742.9, 168.729
1,150, 58,835, 169
1,160, 58,943.6, 169.31
1,170, 59,023.3, 167.9
1,180, 59,114.2, 168.482
1,190, 59,189.2, 169.321
1,200, 59,323.4, 170.785
1,210, 59,408.3, 171.364
1,220, 59,497.7, 169.738
1,230, 59,584.5, 169.873
1,240, 59,714.9, 171.495
1,250, 59,778.2, 170.044
1,260, 59,912.1, 172.295
1,270, 60,005.9, 173.473
1,280, 60,100.1, 173.294
1,290, 60,179.3, 173.71
1,300, 60,306.8, 174.232
1,310, 60,376.5, 172.731
1,320, 60,490.8, 173.491
1,330, 60,557.4, 175.21
1,340, 60,663.6, 175.186
1,350, 60,769.3, 176.504
1,360, 60,897.5, 175.567
1,370, 60,935, 175.241
1,380, 61,035.5, 177.245
1,390, 61,163, 177.042
1,400, 61,238, 177.791
1,410, 61,344.7, 175.104
1,420, 61,406.4, 176.152
1,430, 61,511.7, 176.948
1,440, 61,627.3, 177.882
1,450, 61,735.7, 176.339
1,460, 61,826.3, 177.848
1,470, 61,923.5, 177.843
1,480, 62,014.3, 179.052
1,490, 62,101.3, 179.449
1,500, 62,221.2, 178.483

haste_rating, DPS, DPS-Error
0, 46,605.6, 46.2792
10, 46,684.4, 134.138
20, 46,782, 137.278
30, 46,880.4, 135.791
40, 46,920.6, 134.014
50, 46,874.5, 138.129
60, 47,049.8, 138.326
70, 47,227.7, 132.098
80, 47,332.3, 138.964
90, 47,433.5, 140.17
100, 47,404.9, 133.578
110, 47,671.3, 140.94
120, 47,801, 138.059
130, 47,867.7, 136.633
140, 48,038.4, 140.119
150, 47,989.5, 142.857
160, 48,169.8, 140.646
170, 48,188.1, 133.515
180, 48,397.8, 135.222
190, 48,448.3, 141.314
