逝川流光 Plot Results:
crit_rating, DPS, DPS-Error
0, 30278.5, 30.0694
10, 30346.1, 87.3259
20, 30359.8, 88.3139
30, 30461.2, 88.5718
40, 30579.4, 89.3518
50, 30641.1, 91.3752
60, 30721, 87.337
70, 30743, 88.2991
80, 30861.7, 87.9051
90, 30880.3, 89.6146
100, 30980, 92.4642
110, 31098.3, 91.8131
120, 31171.8, 90.8441
130, 31178.3, 88.4377
140, 31261.5, 91.7212
150, 31264.5, 89.3918
160, 31312.6, 93.8
170, 31450.7, 91.9619
180, 31462.6, 91.9788
190, 31662.9, 93.3704
200, 31603.1, 91.3481
210, 31676.7, 92.8077
220, 31714.5, 90.3185
230, 31771.8, 94.6428
240, 31877.8, 92.6846
250, 32005.4, 94.4943
260, 32095, 94.1333
270, 32157.5, 93.8637
280, 32157.3, 95.7213
290, 32216.7, 94.264
300, 32279.7, 92.574
310, 32393.4, 94.5224
320, 32446, 93.8887
330, 32582.3, 93.9645
340, 32587, 92.4921
350, 32622.3, 95.3659
360, 32672.3, 95.0803
370, 32720, 93.3058
380, 32845.2, 94.0601
390, 32827.8, 94.5774
400, 32908.1, 95.4988
410, 33105.9, 97.7171
420, 33141.2, 97.468
430, 33188.8, 96.7908
440, 33266.7, 97.1276
450, 33375.9, 99.3239
460, 33374.3, 97.0291
470, 33498.1, 97.1828
480, 33572.2, 97.1526
490, 33620.4, 99.3463
500, 33755.3, 98.2477
510, 33673.2, 97.9133
520, 33816.3, 98.444
530, 33892.5, 100.021
540, 34039.4, 99.6743
550, 33982.5, 97.0219
560, 34005.2, 98.2163
570, 34267.4, 100.727
580, 34222.8, 100.66
590, 34297.1, 98.9428
600, 34351.8, 99.9465
610, 34454.2, 100.488
620, 34477.3, 99.6122
630, 34564.4, 100.841
640, 34635.5, 102.2
650, 34669.7, 100.59
660, 34705.2, 102.017
670, 34814.5, 99.6314
680, 34978.5, 100.987
690, 35035.3, 101.279
700, 35023.1, 103.527
710, 35180.1, 104.297
720, 35128.9, 100.164
730, 35319.5, 102.743
740, 35288.9, 105.381
750, 35370.6, 103.397
760, 35490, 103.279
770, 35488.6, 103.298
780, 35688, 101.887
790, 35736.7, 101.513
800, 35732.8, 103.061
810, 35844.7, 105.197
820, 35959, 104.545
830, 36040.9, 104.353
840, 36085.5, 106.418
850, 36047.6, 105.366
860, 36210.2, 106.058
870, 36188.7, 104.562
880, 36263.2, 107.598
890, 36342.4, 104.181
900, 36494.1, 103.847
910, 36455.2, 107.044
920, 36590.6, 103.598
930, 36683.7, 107.085
940, 36668.1, 108.818
950, 36769, 105.377
960, 36753.3, 105.498
970, 36893.5, 109.687
980, 36976.5, 107.945
990, 37052.9, 105.391
1000, 37080, 110.293
1010, 37159, 107.389
1020, 37166.6, 107.232
1030, 37184.9, 111.04
1040, 37399.2, 106.756
1050, 37319.6, 106.461
1060, 37475, 107.202
1070, 37565.3, 110.313
1080, 37642.2, 107.38
1090, 37674.8, 110.821
1100, 37751.9, 112.066
1110, 37769.4, 111.038
1120, 37952.3, 109.332
1130, 37979.1, 111.487
1140, 38078.6, 108.578
1150, 38062.4, 111.935
1160, 38266.7, 110.469
1170, 38188.1, 110.12
1180, 38345.1, 111.286
1190, 38361.7, 112.307
1200, 38473.2, 113.029
1210, 38563.3, 112.367
1220, 38507.2, 110.235
1230, 38666.5, 113.427
1240, 38633, 110.104
1250, 38739.8, 112.032
1260, 38783.4, 112.655
1270, 38817.3, 111.894
1280, 38825.7, 115.57
1290, 38978.6, 114.549
1300, 39003.2, 113.817
1310, 39105.8, 115.568
1320, 39208.9, 112.962
1330, 39264.1, 113.533
1340, 39267.9, 113.476
1350, 39411.8, 112.233
1360, 39392.1, 113.947
1370, 39397.7, 113.692
1380, 39529.7, 116.049
1390, 39509.5, 117.429
1400, 39663.8, 117.019
1410, 39665.7, 115.881
1420, 39751.5, 114.017
1430, 39825, 116.098
1440, 39935.5, 115.559
1450, 40053.7, 115.233
1460, 40220.7, 116.726
1470, 40172.9, 114.588
1480, 40174.1, 117.027
1490, 40206.3, 114.455
1500, 40348.6, 115.481

haste_rating, DPS, DPS-Error
0, 30278.5, 30.0694
10, 30292.7, 88.3725
20, 30468.1, 87.1073
30, 30487.4, 87.8713
40, 30553.7, 88.8788
50, 30566.8, 90.9384
