Eirodynoir Plot Results:
crit_rating, DPS, DPS-Error
0, 109,455, 109.366
10, 109,586, 300.305
20, 109,909, 312.479
30, 110,229, 323.765
40, 110,341, 326.477
50, 110,502, 309.003
60, 111,092, 310.945
70, 111,210, 329.654
80, 111,372, 328.881
90, 111,617, 315.525
100, 111,894, 313.204
110, 112,147, 332.689
120, 112,566, 326.833
130, 112,577, 324.785
140, 112,901, 337.225
150, 113,017, 334.618
160, 113,404, 321.787
170, 113,798, 322.793
180, 113,879, 328.423
190, 113,884, 319.98
200, 114,175, 340.426
210, 114,165, 334.783
220, 114,722, 333.85
230, 115,037, 335.488
240, 115,554, 337.289
250, 115,466, 329.091
260, 115,831, 341.262
270, 115,735, 333.572
280, 116,312, 336.113
290, 116,522, 329.346
300, 116,597, 331.973
310, 117,271, 334.916
320, 117,363, 337.085
330, 117,376, 322.091
340, 117,530, 325.41
350, 118,328, 341.789
360, 118,267, 347.889
370, 118,530, 340.463
380, 118,897, 343.618
390, 118,726, 333.346
400, 119,305, 345.651
410, 119,499, 331.545
420, 119,933, 338.812
430, 119,900, 344.881
440, 120,034, 334.73
450, 120,233, 339.975
460, 120,714, 342.607
470, 120,956, 355.61
480, 121,323, 336.358
490, 121,212, 347.576
500, 121,789, 355.935
510, 121,750, 354.009
520, 122,223, 337.932
530, 122,119, 351.425
540, 122,474, 348.61
550, 122,885, 349.912
560, 123,507, 352.495
570, 123,392, 345.042
580, 123,642, 350.77
590, 123,943, 358.051
600, 124,114, 352.72
610, 124,516, 364.427
620, 124,649, 355.128
630, 124,781, 348.634
640, 125,310, 366.359
650, 125,287, 358.716
660, 125,614, 356.678
670, 125,911, 361.188
680, 126,357, 366.783
690, 126,517, 356.203
700, 126,702, 370.693
710, 126,855, 354.255
720, 127,065, 353.784
730, 127,516, 373.21
740, 127,271, 352.093
750, 127,720, 363.131
760, 128,017, 378.962
770, 128,230, 372.224
780, 128,592, 381.63
790, 129,013, 378.418
800, 129,039, 379.396
810, 129,604, 364.639
820, 129,404, 367.654
830, 130,089, 374.526
840, 129,968, 381.819
850, 130,266, 379.122
860, 130,543, 365.333
870, 130,722, 375.6
880, 131,282, 366.518
890, 131,323, 387.45
900, 131,540, 388.878
910, 131,989, 376.768
920, 132,157, 392.814
930, 131,882, 371.051
940, 132,107, 377.071
950, 132,671, 390.409
960, 132,886, 376.929
970, 132,726, 372.082
980, 133,644, 387.14
990, 133,316, 371.993
1,000, 134,105, 395.362
1,010, 133,983, 392.485
1,020, 134,220, 395.247
1,030, 134,475, 384.948
1,040, 134,836, 387.789
1,050, 134,964, 381.172
1,060, 135,391, 391.261
1,070, 135,840, 399.308
1,080, 135,976, 375.144
1,090, 136,005, 382.296
1,100, 136,128, 397.245
1,110, 136,559, 405.1
1,120, 136,769, 408.382
1,130, 136,818, 410.052
1,140, 137,443, 401.101
1,150, 137,427, 408.969
1,160, 137,821, 392.591
1,170, 137,781, 395.686
1,180, 138,092, 395.185
1,190, 138,349, 399.471
1,200, 138,997, 398.403
1,210, 138,855, 399.941
1,220, 139,557, 380.956
1,230, 139,571, 411.983
1,240, 139,890, 397.185
1,250, 140,033, 393.083
1,260, 140,502, 405.01
1,270, 140,611, 399.258
1,280, 140,881, 412.802
1,290, 141,036, 396.731
1,300, 141,148, 394.218
1,310, 141,126, 417.961
1,320, 141,619, 410.769
1,330, 141,460, 411.119
1,340, 141,847, 401.8
1,350, 142,136, 410.832
1,360, 142,609, 403.558
1,370, 142,975, 398.625
1,380, 143,053, 405.574
1,390, 142,979, 404.712
1,400, 143,151, 418.435
1,410, 143,396, 423.287
1,420, 144,117, 420.128
1,430, 143,853, 398.112
1,440, 144,008, 419.013
1,450, 144,709, 418.957
1,460, 144,546, 423.389
1,470, 144,458, 405.709
1,480, 145,119, 420.93
1,490, 144,956, 405.658
1,500, 145,586, 422.868

haste_rating, DPS, DPS-Error
0, 109,455, 109.366
10, 109,811, 320.011
20, 109,984, 317.043
30, 110,411, 328.854
40, 110,427, 310.03
50, 110,676, 306.957
60, 111,215, 314.696
70, 111,417, 315.617
80, 111,467, 316.207
90, 111,934, 317.638
100, 112,251, 328.435
110, 112,516, 309.211
120, 112,846, 315.176
130, 112,980, 317.708
140, 113,214, 329.913
150, 113,728, 321.318
160, 113,813, 324.329
170, 114,269, 338.268
180, 114,436, 333.57
190, 114,917, 327.8
200, 115,204, 343.155
210, 115,596, 339.94
220, 115,435, 333.201
230, 115,566, 332.646
240, 115,746, 342.354
250, 116,131, 327.898
260, 116,876, 323.941
270, 117,010, 326.859
280, 117,238, 333.436
290, 117,493, 340.422
300, 117,656, 329.915
310, 117,830, 342.562
320, 118,383, 338.958
330, 118,297, 336.647
340, 118,818, 340.401
350, 118,976, 337.5
360, 119,258, 347.828
370, 119,494, 331.7
380, 119,525, 355.219
390, 119,919, 349.078
400, 120,077, 350.332
410, 120,503, 355.968
420, 120,388, 344.348
430, 121,059, 359.664
440, 121,562, 336.727
450, 121,426, 336.948
460, 122,030, 352.501
470, 122,262, 363.321
480, 122,224, 356.232
490, 122,678, 349.446
500, 122,903, 347.982
510, 123,275, 348.234
520, 123,569, 343.493
530, 123,746, 351.454
540, 123,847, 340.846
550, 124,210, 362.253
560, 124,265, 350.747
570, 124,904, 367.534
580, 124,771, 352.834
590, 125,313, 342.895
600, 125,351, 361.931
610, 125,409, 356.724
620, 125,953, 361.038
630, 125,968, 372.583
640, 126,163, 364.887
650, 126,472, 363.668
660, 126,266, 356.275
670, 126,229, 366.303
680, 126,627, 361.995
690, 126,930, 375.981
700, 127,316, 360.785
710, 127,428, 357.446
720, 127,597, 360.504
730, 128,445, 366.551
740, 128,382, 386.978
750, 128,601, 360.637
760, 129,091, 360.74
770, 129,517, 378.281
780, 129,423, 383.208
790, 129,858, 381.988
800, 129,921, 357.972
810, 129,831, 380.629
820, 130,498, 356.653
830, 130,469, 375.552
840, 131,008, 376.397
850, 131,144, 363.949
860, 131,476, 391.12
870, 131,324, 391.267
880, 132,242, 381.654
890, 131,553, 371.605
900, 132,048, 358.769
910, 132,276, 371.38
920, 132,503, 375.869
930, 133,054, 380.543
940, 132,853, 376.795
950, 133,191, 390.538
960, 133,590, 398.158
970, 133,484, 373.499
980, 133,887, 395.032
990, 134,280, 374.135
1,000, 134,456, 378.653
1,010, 134,702, 397.375
1,020, 135,190, 390.573
1,030, 135,030, 368.772
1,040, 135,517, 372.904
1,050, 135,895, 392.436
1,060, 136,099, 383.165
1,070, 136,260, 391.897
1,080, 136,538, 388.726
1,090, 136,886, 373.891
1,100, 137,018, 370.643
1,110, 136,863, 389.176
1,120, 137,244, 394.8
1,130, 137,199, 398.304
1,140, 137,417, 380.397
1,150, 138,172, 396.728
1,160, 138,212, 404.798
1,170, 138,377, 387.547
1,180, 138,286, 402.866
1,190, 139,104, 396.154
1,200, 139,221, 412.024
1,210, 139,244, 389.266
1,220, 139,215, 408.378
1,230, 139,726, 399.253
1,240, 139,670, 394.446
1,250, 140,307, 398.948
1,260, 139,937, 413.473
1,270, 140,586, 389.037
1,280, 141,089, 379.639
1,290, 141,039, 418.897
1,300, 141,130, 408.026
1,310, 141,411, 386.681
1,320, 141,868, 389.442
1,330, 142,329, 402.745
1,340, 142,356, 411.576
1,350, 142,603, 422.5
1,360, 142,788, 405.485
1,370, 142,971, 395.077
1,380, 143,250, 413.255
1,390, 143,914, 416.884
1,400, 144,007, 404.444
1,410, 144,060, 408.387
1,420, 144,398, 392.665
1,430, 144,217, 412.329
1,440, 144,589, 421.828
1,450, 144,754, 397.635
1,460, 145,130, 399.768
1,470, 144,843, 409.779
1,480, 145,063, 425.863
1,490, 145,264, 423.518
1,500, 145,616, 407.326

mastery_rating, DPS, DPS-Error
0, 109,455, 109.366
10, 109,322, 313.406
20, 109,631, 314.964
30, 109,842, 314.84
40, 110,015, 315.223
50, 110,270, 317.618
60, 110,485, 316.675
70, 110,706, 316.814
80, 110,914, 317.689
90, 111,145, 319.119
100, 111,385, 319.153
110, 111,593, 321.201
120, 111,805, 323.115
130, 112,009, 321.563
140, 112,217, 321.771
150, 112,461, 323.242
160, 112,671, 323.532
170, 112,871, 325.184
180, 113,142, 323.791
190, 113,321, 326.559
200, 113,596, 326.497
