Eirodynoir Plot Results:
crit_rating, DPS, DPS-Error
0, 38950.8, 38.8677
10, 39023.8, 111.777
20, 39027.5, 114.139
30, 39221, 110.588
40, 39240.5, 114.16
50, 39386.3, 116.917
60, 39408.9, 116.797
70, 39600.9, 114.446
80, 39578, 110.431
90, 39736.7, 114.515
100, 39846.4, 115.896
110, 39988.1, 112.588
120, 39999.4, 115.95
130, 40127, 112.934
140, 40115, 115.382
150, 40241.2, 117.125
160, 40206.6, 118.701
170, 40187.2, 113.984
180, 40587.7, 118.235
190, 40540.8, 119.538
200, 40530.4, 115.639
210, 40685.6, 115.662
220, 40798.1, 118.229
230, 40916.6, 116.578
240, 40932.9, 118.717
250, 41085.1, 119.378
260, 41077.6, 118.778
270, 41177.6, 121.912
280, 41399.1, 121.7
290, 41283.4, 122.603
300, 41493.3, 120.832
310, 41519.9, 116.771
320, 41585.8, 116.248
330, 41604.3, 118.861
340, 41871.6, 120.628
350, 41828.2, 123.505
360, 42049, 123.476
370, 42048, 125.189
380, 42136.1, 124.869
390, 42157.6, 118.769
400, 42321.4, 119.165
410, 42341.4, 122.977
420, 42393.3, 118.263
430, 42606.2, 119.227
440, 42706.2, 125.882
450, 42763.6, 124.574
460, 42724.3, 121.834
470, 42831.3, 120.999
480, 43052.7, 128.249
490, 42951.2, 121.012
500, 43194.7, 122.681
510, 43209.1, 120.909
520, 43393.3, 123.993
530, 43328.8, 126.144
540, 43572.3, 124.868
550, 43533.3, 127.433
560, 43520.2, 121.558
570, 43691.7, 124.836
580, 43797.3, 130.861
590, 43807, 123.845
600, 43959.8, 126.199
610, 43980.2, 125.05
620, 44241.1, 129.978
630, 44156.4, 125.372
640, 44356.6, 127.947
650, 44330.7, 127.767
660, 44455.5, 126.727
670, 44652.9, 128.354
680, 44616.8, 127.185
690, 44720, 131.04
700, 44748.8, 129.187
710, 44703.9, 132.576
720, 44910.9, 128.923
730, 45075.5, 133.74
740, 45105.3, 131.366
750, 45193.6, 126.537
760, 45324.2, 129.957
770, 45333.7, 134.144
780, 45385.7, 129.697
790, 45546.9, 129.949
800, 45606.5, 133.573
810, 45779.7, 131.727
820, 45722.1, 130.126
830, 45843.5, 129.884
840, 45955.3, 128.457
850, 46011.3, 132.138
860, 46172.4, 134.791
870, 46283, 135.841
880, 46317.6, 132.431
890, 46414.7, 139.161
900, 46542.3, 130.344
910, 46550.9, 133.206
920, 46790.2, 134.533
930, 46678.9, 134.032
940, 46821.6, 136.159
950, 46830.1, 138.272
960, 46950.5, 135.636
970, 47102.9, 132.578
980, 47063, 138.01
990, 47352.7, 139.582
1000, 47226.4, 138.234
1010, 47402, 133.143
1020, 47608, 135.121
1030, 47517.2, 133.534
1040, 47692.2, 132.954
1050, 47686.6, 135.151
1060, 47846.6, 137.661
1070, 47778.1, 142.917
1080, 48013.6, 139.145
1090, 48063.2, 141.69
1100, 48211.3, 142.469
1110, 48193.9, 142.119
1120, 48334.5, 137.533
1130, 48318.1, 143.324
1140, 48557, 136.476
1150, 48544.5, 137.506
1160, 48528.6, 139.03
1170, 48693.8, 142.256
1180, 48783.5, 138.25
1190, 48735.7, 133.787
1200, 48904.8, 139.899
1210, 49017.1, 144.191
1220, 48799.1, 137.594
1230, 49193.7, 141.013
1240, 49238.7, 139.604
1250, 49343.4, 144.875
1260, 49378.5, 141.348
1270, 49469.1, 147.475
1280, 49566.7, 142.758
1290, 49556.2, 141.985
1300, 49736.1, 142.492
1310, 49852.3, 139.353
1320, 49854.2, 146.473
1330, 49994.2, 141.394
1340, 50020.9, 141.523
1350, 50033.8, 142.632
1360, 50131.4, 142.987
1370, 50230.4, 142.932
1380, 50361.4, 142.375
1390, 50359.2, 149.55
1400, 50547.1, 145.295
1410, 50649.5, 146.304
1420, 50701.4, 144.943
1430, 50697.9, 140.769
1440, 50845.6, 148.032
1450, 50901.5, 150.108
1460, 50935.3, 141.526
1470, 51092.1, 152.015
1480, 51056.1, 146.599
1490, 51167.9, 152.92
1500, 51335.9, 152.547

haste_rating, DPS, DPS-Error
0, 38950.8, 38.8677
10, 39034.1, 116.133
20, 39146.2, 114.97
30, 39333.5, 115.448
40, 39336.3, 114.63
50, 39383.5, 109.954
60, 39498.1, 115.2
70, 39522.4, 110.978
80, 39598.9, 110.271
90, 39691, 113.175
100, 39806.4, 111.658
110, 39846.7, 116.683
120, 39977.7, 111.615
130, 40055.5, 117.664
140, 40122.9, 118.817
150, 40231.8, 118.048
160, 40286, 115.603
170, 40451.1, 114.542
180, 40518.1, 113.797
190, 40612.1, 113.874
200, 40764.1, 119.426
210, 40817.9, 121.268
220, 40835.1, 116.042
230, 41062.8, 121.556
240, 41025.7, 119.552
250, 41238.7, 119.348
260, 41245.9, 122.817
270, 41236.6, 121.112
280, 41508.1, 122.251
290, 41561, 117.65
300, 41634.1, 121.029
310, 41638, 116.827
320, 41809.3, 119.021
330, 41807.4, 121.61
340, 41858.2, 117.824
350, 41920.7, 123.519
360, 42024.2, 124.613
370, 42030.4, 123.298
380, 42228.5, 123.793
390, 42293.1, 122.423
400, 42310.6, 121.795
410, 42469.2, 126.087
420, 42399.9, 124.357
430, 42511.1, 125.864
440, 42709, 124.561
450, 42683.5, 121.722
460, 42728, 119.145
470, 42787.6, 120.024
480, 42960.2, 123.936
490, 43031.4, 127.304
500, 43156.9, 125.189
510, 43205.1, 128.402
520, 43258.1, 119.871
530, 43397.9, 125.927
540, 43512.6, 124.277
550, 43487.1, 129.702
560, 43666.2, 129.831
570, 43628.9, 120.618
580, 43702.4, 122.504
590, 43825.6, 127.3
600, 43853.8, 128.358
610, 43992.1, 128.438
620, 44052.8, 128.633
630, 44142.1, 123.86
640, 44081.6, 130.768
650, 44220.4, 128.8
660, 44259.2, 131.25
670, 44377.4, 126.991
680, 44447.2, 129.609
690, 44552.3, 130.884
700, 44550.6, 132.588
710, 44689.9, 130.526
720, 44747.4, 131.903
730, 44900.1, 132.471
740, 44931.3, 133.942
750, 45082.6, 127.744
760, 45222.9, 130.287
770, 45176.6, 132.711
780, 45338.4, 129.344
790, 45423, 133.361
800, 45375.3, 134.733
810, 45401.1, 130.628
820, 45514.8, 129.558
830, 45685.9, 134.68
840, 45662, 129.478
850, 45783.1, 135.681
860, 45805.2, 134.586
870, 45809.9, 125.787
880, 45955.2, 134.883
890, 45983.9, 133.443
900, 46123.5, 136.729
910, 46174.8, 137.034
920, 46293.4, 129.101
930, 46302.2, 130.547
940, 46274.9, 137.057
950, 46474.3, 128.086
960, 46534.7, 137.274
970, 46836.2, 132.645
980, 46755.4, 137.792
990, 46763, 133.405
1000, 46849.9, 135.194
1010, 46863.2, 138.295
1020, 47083.9, 136.068
1030, 47057.4, 137.877
1040, 47158.3, 131.881
1050, 47302.6, 136.997
1060, 47375.2, 136.252
1070, 47360.4, 138.63
1080, 47584, 140.388
1090, 47596.4, 133.932
1100, 47678.6, 139.401
1110, 47746.7, 140.965
1120, 47803.4, 140.172
1130, 47796.6, 134.76
1140, 47836.7, 135.448
1150, 47960.8, 135.129
1160, 48188.6, 134.189
1170, 48151.3, 137.289
1180, 48277.3, 141.238
1190, 48240, 135.535
1200, 48309.7, 134.986
1210, 48384.3, 138.675
1220, 48438.4, 135.788
1230, 48579.1, 136.327
1240, 48704, 138.969
1250, 48661.8, 134.922
1260, 48794.2, 135.538
1270, 48757, 138.868
1280, 48876.2, 142.195
1290, 48918.8, 144.943
1300, 49161.3, 143.502
1310, 49092.5, 144.793
1320, 49279.7, 147.642
1330, 49278.4, 135.608
1340, 49357.9, 138.823
1350, 49426, 139.524
1360, 49365.8, 141.155
1370, 49476.7, 143.233
1380, 49509.5, 144.762
1390, 49711, 141.9
1400, 49458.8, 143.416
1410, 49754.6, 139.188
1420, 49714.2, 142.763
1430, 49891, 145.264
1440, 49778, 144.31
1450, 49949.6, 144.535
1460, 49970, 143.219
1470, 50061.1, 147.657
1480, 50116.4, 141.874
1490, 50282.1, 142.282
1500, 50273.3, 138.65

mastery_rating, DPS, DPS-Error
0, 38950.8, 38.8677
10, 39106.7, 111.763
20, 39174.6, 112.102
30, 39264, 112.422
40, 39326.8, 112.175
50, 39407.5, 113.143
60, 39485.7, 112.431
70, 39568.7, 112.817
80, 39639.4, 113.888
90, 39717.9, 113.681
100, 39804.8, 113.951
110, 39874.3, 114.519
120, 39942.3, 114.797
130, 40041.7, 114.824
140, 40098.3, 115.1
150, 40178.5, 115.367
160, 40253.6, 115.857
170, 40338.1, 115.963
180, 40412.1, 115.874
190, 40484.7, 116.029
200, 40569.7, 116.747
210, 40631.9, 116.474
220, 40721.2, 117.359
230, 40802.3, 117.176
240, 40869.1, 117.608
250, 40954.3, 117.755
260, 41035.4, 118.268
270, 41108, 118.418
280, 41194.7, 118.14
290, 41265.6, 119.055
300, 41335.8, 119.011
310, 41417.6, 119.023
320, 41485.4, 119.914
330, 41571.9, 120.018
340, 41650.9, 120.542
350, 41722.2, 120.525
360, 41797.3, 121.074
370, 41874.3, 121.108
380, 41955.1, 121.47
390, 42046.1, 121.572
400, 42123.5, 121.776
410, 42184.6, 121.332
420, 42253.3, 122.021
430, 42346.9, 122.202
440, 42414.2, 122.173
450, 42510.3, 123.108
460, 42574.6, 123.552
470, 42653.3, 123.635
480, 42731.7, 124.093
490, 42808.8, 123.994
500, 42878.3, 123.47
510, 42959.9, 124.726
520, 43044.5, 124.895
530, 43126.4, 125.217
540, 43203.1, 125.342
550, 43281.4, 125.741
560, 43351.7, 125.882
570, 43436, 126.09
580, 43510.9, 126.287
590, 43583.8, 126.335
600, 43670.7, 127.434
610, 43733.5, 127.065
620, 43834.8, 127.61
630, 43918.1, 127.801
640, 43951.6, 126.838
650, 44056, 128.458
660, 44132.9, 128.78
670, 44202, 127.877
680, 44299.7, 128.986
690, 44370, 128.757
700, 44444.1, 129.558
710, 44516.7, 129.731
720, 44594.2, 130.316
730, 44681.4, 130.887
740, 44759.4, 130.661
750, 44819.8, 130.688
760, 44907.1, 131.005
770, 44987.2, 131.017
780, 45074.6, 130.839
790, 45144.9, 132.014
800, 45220.9, 132.505
810, 45294.7, 131.811
820, 45374.7, 132.345
830, 45446.9, 133.067
840, 45509.9, 133.016
850, 45584.7, 132.79
860, 45654.5, 133.539
870, 45742.4, 133.81
880, 45806.5, 134.322
890, 45872.8, 133.952
900, 45945.8, 134.403
910, 46034.2, 134.98
920, 46088, 135.284
930, 46160.2, 135.105
940, 46236.5, 136.115
950, 46310.8, 134.738
960, 46389.4, 135.654
970, 46461.6, 136.278
980, 46526.9, 136.563
990, 46599.7, 137.239
1000, 46672.2, 137.215
1010, 46756.7, 137.513
1020, 46805.6, 136.981
1030, 46880.9, 138.022
1040, 46969.3, 138.097
1050, 47025, 138.335
1060, 47106.6, 138.904
1070, 47173.1, 138.302
1080, 47254.2, 138.985
1090, 47309.2, 139.068
1100, 47379.7, 139.489
1110, 47467.5, 139.415
1120, 47531.9, 139.811
1130, 47605.6, 140.313
1140, 47684.1, 140.048
1150, 47754.3, 139.995
1160, 47820.5, 140.262
1170, 47894.6, 141.826
1180, 47976.6, 140.68
1190, 48035.6, 141.459
1200, 48118.2, 141.648
1210, 48178.9, 141.215
1220, 48242.7, 143.039
1230, 48314.5, 142.262
1240, 48404.7, 143.298
1250, 48469.7, 143.609
1260, 48542.1, 143.646
1270, 48610.4, 143.478
1280, 48679.3, 143.423
1290, 48717.5, 142.685
1300, 48808.7, 144.452
1310, 48869.7, 143.73
1320, 48937.9, 143.389
1330, 49031.6, 145.293
1340, 49090.9, 145.111
1350, 49148.9, 144.639
1360, 49214.7, 145.461
1370, 49265.6, 145.134
1380, 49334.2, 145.499
1390, 49406, 146.261
1400, 49473.4, 147.002
1410, 49535.2, 146.85
1420, 49606.2, 146.517
1430, 49659.1, 147.157
1440, 49727.5, 147.317
1450, 49800, 147.881
1460, 49862.9, 147.689
1470, 49926.6, 148.52
1480, 50001.9, 148.596
1490, 50057.2, 148.477
1500, 50135.3, 148.393

versatility_rating, DPS, DPS-Error
0, 38950.8, 38.8677
10, 39088.6, 111.162
20, 39152.7, 111.532
30, 39232.2, 111.893
40, 39293, 111.786
50, 39365, 111.989
60, 39428, 112.641
70, 39501.2, 112.709
80, 39568.3, 112.725
90, 39630.9, 112.777
100, 39699.1, 113.817
110, 39772.7, 113.739
120, 39842.4, 113.642
130, 39903.9, 113.475
140, 39973.1, 114.116
150, 40036.6, 113.947
160, 40104.6, 114.462
170, 40184.3, 115.01
180, 40248.2, 114.995
190, 40322.1, 115.123
200, 40397.4, 115.468
210, 40456.7, 115.523
220, 40525.1, 114.977
230, 40588.6, 115.519
240, 40658.6, 116.219
250, 40732.4, 116.312
260, 40802.5, 116.566
270, 40867, 116.989
280, 40934.3, 116.914
290, 41001.1, 116.331
300, 41075.4, 117.675
310, 41123.5, 117.121
320, 41212.1, 117.593
330, 41272.6, 117.453
340, 41344.2, 118.107
350, 41413.5, 117.66
360, 41476.6, 117.893
370, 41542.1, 118.482
380, 41614.3, 118.026
390, 41673.1, 118.914
400, 41743.2, 119.063
410, 41818.1, 119.756
420, 41882.8, 119.59
430, 41946.6, 119.681
440, 42028.4, 119.709
450, 42095.7, 120.028
460, 42171.3, 120.407
470, 42210.4, 119.287
480, 42306.2, 120.365
490, 42379.9, 120.789
500, 42427.5, 120.163
510, 42533.1, 121.845
520, 42567.9, 121.269
530, 42631.4, 121.686
540, 42710.1, 122.193
550, 42766, 122.406
560, 42841.3, 122.273
570, 42901.2, 122.079
580, 42971.2, 123.131
590, 43051.2, 123.001
600, 43111.3, 122.712
610, 43196.8, 122.451
620, 43254, 123.381
630, 43322.5, 123.646
640, 43374.7, 123.719
650, 43452.6, 123.591
660, 43528.1, 124.323
670, 43584.9, 124.695
680, 43649.5, 124.614
690, 43720, 124.841
700, 43791.9, 124.851
710, 43869.5, 125.568
720, 43940.7, 125.444
730, 44000.8, 124.762
740, 44071.3, 126.012
750, 44139.4, 126.042
760, 44204.9, 126.427
770, 44264.9, 126.096
780, 44335.6, 126.817
790, 44408.2, 126.448
800, 44471.9, 127.093
810, 44544.8, 127.517
820, 44608.5, 127.247
830, 44676.2, 127.315
840, 44737.5, 127.632
850, 44807.5, 127.655
860, 44890.9, 127.666
870, 44943.7, 128.166
880, 45018, 128.813
890, 45115.1, 128.742
900, 45153.9, 127.205
910, 45240, 128.83
920, 45295.1, 128.75
930, 45358.4, 128.595
940, 45420.1, 129.276
950, 45501, 130.083
960, 45559.4, 129.772
970, 45648.3, 130.388
980, 45703, 130.142
990, 45778.7, 130.526
1000, 45832.6, 131.169
1010, 45921.5, 131.1
1020, 45986.3, 131.287
1030, 46054.3, 131.607
1040, 46105.6, 133.143
1050, 46175.9, 131.18
1060, 46253.1, 132.994
1070, 46306.4, 130.515
1080, 46374.4, 132.146
1090, 46447.2, 133.62
1100, 46541.1, 131.697
1110, 46602.8, 131.916
1120, 46649.5, 133.225
1130, 46730.3, 132.942
1140, 46788.8, 132.585
1150, 46837.9, 134.423
1160, 46932, 133.93
1170, 47000.4, 134.315
1180, 47067.1, 134.09
1190, 47125.7, 134.086
